,Title,Views,Date,Duration,Date Detail,View Detail,Number of Likes,Number of Comments
89,Trailer Tomorrow. Probably.,2.7M views,1 year ago,1:13,"Oct 5, 2020","2,791,124",12900,4027
90,Maximum Jackman,5.6M views,1 year ago,1:30,"Oct 2, 2020","5,651,758",27600,6468
91,Aviation Gin Homeschool Edition,1.8M views,1 year ago,0:31,"Sep 25, 2020","1,863,606",9300,2405
92,Nice Morning,4.9M views,1 year ago,1:00,"Sep 15, 2020","4,932,715",24100,5339
93,Ryan & Avery Revere,597K views,1 year ago,0:31,"Sep 9, 2020","597,092",2400,679
94,Ryan & Rodney Robinson,318K views,1 year ago,0:31,"Sep 9, 2020","318,065",1700,302
95,Ryan & Rick Moranis,3.6M views,1 year ago,0:43,"Sep 9, 2020","3,639,490",10000,6741
96,Mint Mobile Plus,404K views,1 year ago,0:32,"Aug 13, 2020","404,117",1900,717
97,Group Effort Initiative,340K views,1 year ago,1:44,"Jul 31, 2020","340,425",2700,1669
98,Different Mintality,993K views,2 years ago,0:37,"Jun 29, 2020","993,571",4400,1399
99,"Good Luck, Adam",699K views,2 years ago,0:52,"Jun 12, 2020","699,566",3500,774
100,Memories | Aviation Gin,534K views,2 years ago,1:01,"May 7, 2020","534,886",2300,659
101,New ManageMint,938K views,2 years ago,1:27,"May 4, 2020","938,125",5100,2487
102,Kitsilano Class of 2020,1.1M views,2 years ago,4:42,"May 2, 2020","1,156,436",5600,2805
103,Don't | ABC,890K views,2 years ago,1:16,"Apr 30, 2020","890,551",3700,1243
104,All In Challenge,3.2M views,2 years ago,1:24,"Apr 20, 2020","3,231,264",15600,4046
105,Free Guy Clip,721K views,2 years ago,0:35,"Apr 4, 2020","721,696",2900,1087
106,Mint Mobile Voicemails,1.4M views,2 years ago,1:21,"Apr 2, 2020","1,483,440",5300,1956
107,Arlene's Big Leap,1.4M views,2 years ago,1:26,"Feb 28, 2020","1,421,573",6500,1466
108,Best in Show,922K views,2 years ago,0:46,"Feb 7, 2020","922,283",4200,1242
109,The Craft of Free Guy,1M views,2 years ago,1:34,"Jan 4, 2020","1,004,239",4800,1325
110,The Sweater Returns,1.7M views,2 years ago,1:45,"Dec 20, 2019","1,790,479",13900,2970
111,Man of the World,1.2M views,2 years ago,1:26,"Dec 13, 2019","1,248,939",6300,1868
112,Free Guy Trailer,2.7M views,2 years ago,3:03,"Dec 11, 2019","2,744,119",11500,6439
113,Free Guy | Limited Time Offer,2.3M views,2 years ago,1:47,"Dec 6, 2019","2,387,467",10600,3329
114,Contextual Advertising,2M views,2 years ago,0:43,"Nov 22, 2019","2,055,241",12800,3752
115,I am so sorry about this,7.6M views,2 years ago,0:17,"Nov 6, 2019","7,618,051",27600,8320
116,ASMRDJ,1.7M views,2 years ago,1:00:49,"Nov 1, 2019","1,740,281",10000,6949
117,Deadpool Makeup Tutorial,9.8M views,2 years ago,0:50,"Oct 17, 2019","9,830,032",15100,2884
118,"Happy Birthday, Hugh",16M views,2 years ago,2:54,"Oct 14, 2019","16,428,916",46400,6491
119,Free Guy | New York Comic Con,260K views,2 years ago,1:26,"Oct 8, 2019","260,844",1000,271
120,Free Guy | New Friends,2.3M views,2 years ago,1:54,"Oct 4, 2019","2,386,219",8500,2343
121,6 Underground Trailer,1.5M views,2 years ago,3:08,"Oct 1, 2019","1,544,131",7800,4384
122,Rejected Slogans,3.1M views,2 years ago,1:01,"Aug 23, 2019","3,171,834",15400,3837
123,Bottle Cap Challenge,18M views,3 years ago,0:45,"Jul 4, 2019","18,499,676",88700,19108
124,Dedication,2.7M views,3 years ago,1:10,"Jun 5, 2019","2,747,926",13900,4447
125,Get Ready with Me (Pika Edition),5.9M views,3 years ago,1:01,"May 2, 2019","5,969,669",41600,5577
126,Pikachu uses... Foot Massage?,8.7M views,3 years ago,1:01,"May 1, 2019","8,736,179",18500,Comments are turned off. 
127,What a Pikachu World,67M views,3 years ago,1:20,"Apr 22, 2019","67,027,681",61300,16933
128,Casting Detective Pikachu,38M views,3 years ago,1:14,"Apr 10, 2019","38,211,708",51200,Comments are turned off. 
129,Detective Pikachu | No Clue,2.3M views,3 years ago,0:31,"Mar 22, 2019","2,339,822",6300,2228
130,Becoming Pikachu,8.5M views,3 years ago,1:35,"Feb 25, 2019","8,527,790",41100,10639
131,First Ownerversary,1.3M views,3 years ago,1:29,"Feb 22, 2019","1,386,921",6400,2093
132,Truce,11M views,3 years ago,2:04,"Feb 6, 2019","11,795,716",48500,9792
133,The Process | Aviation Gin,4.6M views,3 years ago,1:41,"Dec 13, 2018","4,614,030",13400,4056
134,Bleeping Yourself,3.1M views,3 years ago,0:31,"Dec 12, 2018","3,154,188",12900,1822
135,Respect the Back,3.4M views,3 years ago,1:43,"Dec 10, 2018","3,486,985",15000,5620
